secao,secao_titulo,arquivo_stem,titulo_tabela,caminho_csv
03_markowitz_puro,Markowitz puro,ranking_markowitz_puro_mdd,Ranking Markowitz Puro Mdd,resultados/tabelas_finais/03_markowitz_puro/ranking_markowitz_puro_mdd.csv
03_markowitz_puro,Markowitz puro,ranking_markowitz_puro_sharpe,Ranking Markowitz Puro Sharpe,resultados/tabelas_finais/03_markowitz_puro/ranking_markowitz_puro_sharpe.csv
03_markowitz_puro,Markowitz puro,resumo_tipo_markowitz_puro,Resumo Tipo Markowitz Puro,resultados/tabelas_finais/03_markowitz_puro/resumo_tipo_markowitz_puro.csv
03_markowitz_puro,Markowitz puro,resumo_visual_carteiras_markowitz_puro,Resumo Visual Carteiras Markowitz Puro,resultados/tabelas_finais/03_markowitz_puro/resumo_visual_carteiras_markowitz_puro.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_base100,Carteiras Markowitz Restrito Base100,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_base100.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_base100_long,Carteiras Markowitz Restrito Base100 Long,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_base100_long.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_drawdown,Carteiras Markowitz Restrito Drawdown,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_drawdown.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_drawdown_long,Carteiras Markowitz Restrito Drawdown Long,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_drawdown_long.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_heatmap_pesos,Carteiras Markowitz Restrito Heatmap Pesos,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_heatmap_pesos.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_limites_visual,Carteiras Markowitz Restrito Limites Visual,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_limites_visual.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_pesos_pct,Carteiras Markowitz Restrito Pesos Pct,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_pesos_pct.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_pesos_pct_wide,Carteiras Markowitz Restrito Pesos Pct Wide,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_pesos_pct_wide.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_pesos_raw,Carteiras Markowitz Restrito Pesos Raw,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_pesos_raw.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_top10_pesos,Carteiras Markowitz Restrito Top10 Pesos,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_top10_pesos.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_top_pesos,Carteiras Markowitz Restrito Top Pesos,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_top_pesos.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_validacao_limites,Carteiras Markowitz Restrito Validacao Limites,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_validacao_limites.csv
04_markowitz_restrito,Markowitz restrito,carteiras_markowitz_restrito_validacao_soma_pesos,Carteiras Markowitz Restrito Validacao Soma Pesos,resultados/tabelas_finais/04_markowitz_restrito/carteiras_markowitz_restrito_validacao_soma_pesos.csv
04_markowitz_restrito,Markowitz restrito,metricas_markowitz_restrito,Metricas Markowitz Restrito,resultados/tabelas_finais/04_markowitz_restrito/metricas_markowitz_restrito.csv
04_markowitz_restrito,Markowitz restrito,metricas_markowitz_restrito_exibicao,Metricas Markowitz Restrito Exibicao,resultados/tabelas_finais/04_markowitz_restrito/metricas_markowitz_restrito_exibicao.csv
04_markowitz_restrito,Markowitz restrito,metricas_pesos_markowitz_restrito,Metricas Pesos Markowitz Restrito,resultados/tabelas_finais/04_markowitz_restrito/metricas_pesos_markowitz_restrito.csv
04_markowitz_restrito,Markowitz restrito,ranking_markowitz_restrito_cagr,Ranking Markowitz Restrito Cagr,resultados/tabelas_finais/04_markowitz_restrito/ranking_markowitz_restrito_cagr.csv
04_markowitz_restrito,Markowitz restrito,ranking_markowitz_restrito_mdd,Ranking Markowitz Restrito Mdd,resultados/tabelas_finais/04_markowitz_restrito/ranking_markowitz_restrito_mdd.csv
04_markowitz_restrito,Markowitz restrito,ranking_markowitz_restrito_sharpe,Ranking Markowitz Restrito Sharpe,resultados/tabelas_finais/04_markowitz_restrito/ranking_markowitz_restrito_sharpe.csv
04_markowitz_restrito,Markowitz restrito,resumo_tipo_markowitz_restrito,Resumo Tipo Markowitz Restrito,resultados/tabelas_finais/04_markowitz_restrito/resumo_tipo_markowitz_restrito.csv
04_markowitz_restrito,Markowitz restrito,resumo_visual_carteiras_markowitz_restrito,Resumo Visual Carteiras Markowitz Restrito,resultados/tabelas_finais/04_markowitz_restrito/resumo_visual_carteiras_markowitz_restrito.csv
05_hrp,HRP,carteiras_hrp_base100,Carteiras Hrp Base100,resultados/tabelas_finais/05_hrp/carteiras_hrp_base100.csv
05_hrp,HRP,carteiras_hrp_base100_long,Carteiras Hrp Base100 Long,resultados/tabelas_finais/05_hrp/carteiras_hrp_base100_long.csv
05_hrp,HRP,carteiras_hrp_drawdown,Carteiras Hrp Drawdown,resultados/tabelas_finais/05_hrp/carteiras_hrp_drawdown.csv
05_hrp,HRP,carteiras_hrp_drawdown_long,Carteiras Hrp Drawdown Long,resultados/tabelas_finais/05_hrp/carteiras_hrp_drawdown_long.csv
05_hrp,HRP,carteiras_hrp_heatmap_pesos,Carteiras Hrp Heatmap Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_heatmap_pesos.csv
05_hrp,HRP,carteiras_hrp_hierarquia_visual,Carteiras Hrp Hierarquia Visual,resultados/tabelas_finais/05_hrp/carteiras_hrp_hierarquia_visual.csv
05_hrp,HRP,carteiras_hrp_pesos_pct,Carteiras Hrp Pesos Pct,resultados/tabelas_finais/05_hrp/carteiras_hrp_pesos_pct.csv
05_hrp,HRP,carteiras_hrp_pesos_pct_wide,Carteiras Hrp Pesos Pct Wide,resultados/tabelas_finais/05_hrp/carteiras_hrp_pesos_pct_wide.csv
05_hrp,HRP,carteiras_hrp_pesos_raw,Carteiras Hrp Pesos Raw,resultados/tabelas_finais/05_hrp/carteiras_hrp_pesos_raw.csv
05_hrp,HRP,carteiras_hrp_top10_pesos,Carteiras Hrp Top10 Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_top10_pesos.csv
05_hrp,HRP,carteiras_hrp_top_pesos,Carteiras Hrp Top Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_top_pesos.csv
05_hrp,HRP,carteiras_hrp_validacao_soma_pesos,Carteiras Hrp Validacao Soma Pesos,resultados/tabelas_finais/05_hrp/carteiras_hrp_validacao_soma_pesos.csv
05_hrp,HRP,metricas_hrp,Metricas Hrp,resultados/tabelas_finais/05_hrp/metricas_hrp.csv
05_hrp,HRP,metricas_hrp_exibicao,Metricas Hrp Exibicao,resultados/tabelas_finais/05_hrp/metricas_hrp_exibicao.csv
05_hrp,HRP,metricas_pesos_hrp,Metricas Pesos Hrp,resultados/tabelas_finais/05_hrp/metricas_pesos_hrp.csv
05_hrp,HRP,ranking_hrp_cagr,Ranking Hrp Cagr,resultados/tabelas_finais/05_hrp/ranking_hrp_cagr.csv
05_hrp,HRP,ranking_hrp_mdd,Ranking Hrp Mdd,resultados/tabelas_finais/05_hrp/ranking_hrp_mdd.csv
05_hrp,HRP,ranking_hrp_sharpe,Ranking Hrp Sharpe,resultados/tabelas_finais/05_hrp/ranking_hrp_sharpe.csv
05_hrp,HRP,resumo_hrp,Resumo Hrp,resultados/tabelas_finais/05_hrp/resumo_hrp.csv
05_hrp,HRP,resumo_visual_carteiras_hrp,Resumo Visual Carteiras Hrp,resultados/tabelas_finais/05_hrp/resumo_visual_carteiras_hrp.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_equivalente,Comparacao Metodos Equivalente,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_equivalente.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ganho_relativo_vs_equal,Comparacao Metodos Ganho Relativo Vs Equal,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ganho_relativo_vs_equal.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_melhor_por_familia,Comparacao Metodos Melhor Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_melhor_por_familia.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ranking_final_estrategias,Comparacao Metodos Ranking Final Estrategias,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ranking_final_estrategias.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_ranking_final_por_metodo,Comparacao Metodos Ranking Final Por Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_ranking_final_por_metodo.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_ganho_vs_equal,Comparacao Metodos Resumo Ganho Vs Equal,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_ganho_vs_equal.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_cenario_metodo,Comparacao Metodos Resumo Por Cenario Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_cenario_metodo.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_familia_metodo,Comparacao Metodos Resumo Por Familia Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_familia_metodo.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_resumo_por_metodo,Comparacao Metodos Resumo Por Metodo,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_resumo_por_metodo.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_cagr_por_familia,Comparacao Metodos Top Cagr Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_cagr_por_familia.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_mdd_por_familia,Comparacao Metodos Top Mdd Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_mdd_por_familia.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_top_sharpe_por_familia,Comparacao Metodos Top Sharpe Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_top_sharpe_por_familia.csv
06_comparacao_familias,Comparação consolidada,comparacao_metodos_vitorias_por_familia,Comparacao Metodos Vitorias Por Familia,resultados/tabelas_finais/06_comparacao_familias/comparacao_metodos_vitorias_por_familia.csv
06_comparacao_familias,Comparação consolidada,final_base100_familias_ancora_etfs_com_tudo,Final Base100 Familias Ancora Etfs Com Tudo,resultados/tabelas_finais/06_comparacao_familias/final_base100_familias_ancora_etfs_com_tudo.csv
06_comparacao_familias,Comparação consolidada,final_base100_familias_ancora_etfs_todos,Final Base100 Familias Ancora Etfs Todos,resultados/tabelas_finais/06_comparacao_familias/final_base100_familias_ancora_etfs_todos.csv
06_comparacao_familias,Comparação consolidada,final_crises_familias_ancora,Final Crises Familias Ancora,resultados/tabelas_finais/06_comparacao_familias/final_crises_familias_ancora.csv
06_comparacao_familias,Comparação consolidada,final_drawdown_familias_ancora_etfs_com_tudo,Final Drawdown Familias Ancora Etfs Com Tudo,resultados/tabelas_finais/06_comparacao_familias/final_drawdown_familias_ancora_etfs_com_tudo.csv
06_comparacao_familias,Comparação consolidada,final_drawdown_familias_ancora_etfs_todos,Final Drawdown Familias Ancora Etfs Todos,resultados/tabelas_finais/06_comparacao_familias/final_drawdown_familias_ancora_etfs_todos.csv
06_comparacao_familias,Comparação consolidada,final_impacto_alternativos_familia_estrategia,Final Impacto Alternativos Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_impacto_alternativos_familia_estrategia.csv
06_comparacao_familias,Comparação consolidada,final_melhores_estrategias_por_familia,Final Melhores Estrategias Por Familia,resultados/tabelas_finais/06_comparacao_familias/final_melhores_estrategias_por_familia.csv
06_comparacao_familias,Comparação consolidada,final_resumo_cenario_familia_estrategia,Final Resumo Cenario Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_resumo_cenario_familia_estrategia.csv
06_comparacao_familias,Comparação consolidada,final_resumo_familia_estrategia,Final Resumo Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_resumo_familia_estrategia.csv
06_comparacao_familias,Comparação consolidada,final_vitorias_familia_estrategia,Final Vitorias Familia Estrategia,resultados/tabelas_finais/06_comparacao_familias/final_vitorias_familia_estrategia.csv
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_cenario_alternativos,Testes Estatisticos Cenario Alternativos,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_cenario_alternativos.csv
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_pareados_estrategias,Testes Estatisticos Pareados Estrategias,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_pareados_estrategias.csv
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_geral,Testes Estatisticos Resumo Geral,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_geral.csv
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_significancias_cenario,Testes Estatisticos Resumo Significancias Cenario,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_significancias_cenario.csv
07_testes_estatisticos,Testes estatísticos,testes_estatisticos_resumo_significancias_estrategias,Testes Estatisticos Resumo Significancias Estrategias,resultados/tabelas_finais/07_testes_estatisticos/testes_estatisticos_resumo_significancias_estrategias.csv
